"","refno","name","yes"
"1",3,"Aberdeen North",0.467927632881739
"2",4,"Aberdeen South",0.375914607836298
"3",6,"Airdrie and Shotts",0.504354481647088
"4",12,"Angus",0.403796574100667
"5",17,"Argyll and Bute",0.414754922942705
"6",23,"Ayr Carrick and Cumnock",0.410910966117757
"7",27,"Banff and Buchan",0.355416186545948
"8",51,"Berwickshire Roxburgh and Selkirk",0.273679175278372
"9",115,"Caithness Sutherland and Easter Ross",0.425518089569662
"10",24,"Central Ayrshire",0.431053274275
"11",156,"Coatbridge Chryston and Bellshill",0.487919610018759
"12",173,"Cumbernauld Kilsyth and Kirkintilloch East",0.526113961877206
"13",207,"Dumfries and Galloway",0.342698576310226
"14",208,"Dumfriesshire Clydesdale and Tweeddale",0.250259652548989
"15",211,"Dundee East",0.593592508034375
"16",212,"Dundee West",0.528249934194248
"17",213,"Dunfermline and West Fife",0.477448556911908
"18",209,"East Dunbartonshire",0.451766589066712
"19",223,"East Kilbride Strathaven and Lesmahagow",0.529427803732851
"20",224,"East Lothian",0.382822522414014
"21",469,"East Renfrewshire",0.368103635400791
"22",228,"Edinburgh East",0.46507474497885
"23",229,"Edinburgh North and Leith",0.381166438348798
"24",230,"Edinburgh South",0.390493055999553
"25",231,"Edinburgh South West",0.339728816095761
"26",232,"Edinburgh West",0.378639915564048
"27",407,"Falkirk",0.556899404299948
"28",245,"Glasgow Central",0.555520966996135
"29",262,"Glasgow East",0.520129015491386
"30",263,"Glasgow North",0.584667191467848
"31",264,"Glasgow North East",0.51168638880554
"32",265,"Glasgow North West",0.516100365842172
"33",266,"Glasgow South",0.51324697020909
"34",267,"Glasgow South West",0.530147308672962
"35",268,"Glenrothes",0.506028952787161
"36",269,"Gordon",0.479401453125164
"37",271,"Inverclyde",0.499201050822301
"38",330,"Inverness Nairn Badenoch and Strathspey",0.457428045797047
"39",331,"Kilmarnock and Loudoun",0.454969602996
"40",342,"Kirkcaldy and Cowdenbeath",0.458453735558276
"41",345,"Lanark and Hamilton East",0.516513943031578
"42",348,"Linlithgow and East Falkirk",0.440134404192064
"43",369,"Livingston",0.442870096923753
"44",374,"Midlothian",0.437002545000574
"45",396,"Moray",0.424392813485133
"46",403,"Motherwell and Wishaw",0.432376867560629
"47",406,"Na h-Eileanan an Iar",0.465824481041277
"48",25,"North Ayrshire and Arran",0.553716342135829
"49",250,"North East Fife",0.359980595815848
"50",436,"Ochil and South Perthshire",0.42965556072454
"51",441,"Orkney and Shetland",0.345899223633786
"52",445,"Paisley and Renfrewshire North",0.448444158506611
"53",446,"Paisley and Renfrewshire South",0.497565830014805
"54",450,"Perth and North Perthshire",0.398221818423274
"55",479,"Ross Skye and Lochaber",0.522718432115325
"56",487,"Rutherglen and Hamilton West",0.459859671887986
"57",533,"Stirling",0.402315366138234
"58",5,"West Aberdeenshire and Kincardine",0.352257289217424
"59",210,"West Dunbartonshire",0.539557847935721
