PA05,Seat05,DorlingCode,DorlingName
1,Aberavon,524,Aberavon
2,Aberdeen North,605,Aberdeen North
3,Aberdeen South,606,Aberdeen South
4,Aberdeenshire West & Kincardine,,
5,Airdrie and Shotts,628,Airdrie and Shotts
6,Aldershot,1,Aldershot
7,Aldridge - Brownhills,2,Aldridge-Brownhills
8,Altrincham & Sale West,3,Altrincham and Sale West
9,Alyn & Deeside,525,Alyn and Deeside
10,Amber Valley,4,Amber Valley
11,Angus,562,Angus
15,Argyll and Bute,563,Argyll and Bute
16,Arundel & South Downs,719,Arundel and South Downs
17,Ashfield,6,Ashfield
18,Ashford,7,Ashford
19,Ashton under Lyne,8,Ashton under Lyne
20,Aylesbury,9,Aylesbury
21,"Ayr, Carrick and Cumnock",,
22,Ayrshire Central,,
23,Ayrshire North and Arran,,
24,Banbury,10,Banbury
25,Banff and Buchan,565,Banff and Buchan
26,Barking,11,Barking
27,Barnsley Central,12,Barnsley Central
28,Barnsley East & Mexborough,13,Barnsley East and Mexborough
29,Barnsley West & Penistone,14,Barnsley West and Penistone
30,Barrow & Furness,15,Barrow and Furness
31,Basildon,16,Basildon
32,Basingstoke,17,Basingstoke
33,Bassetlaw,18,Bassetlaw
34,Bath,19,Bath
35,Batley & Spen,20,Batley and Spen
36,Battersea,21,Battersea
37,Beaconsfield,22,Beaconsfield
38,Beckenham,23,Beckenham
39,Bedford,309,Bedford
40,Bedfordshire Mid,283,Mid Bedfordshire
41,Bedfordshire North East,700,North East Bedfordshire
42,Bedfordshire South West,420,South West Bedfordshire
47,"Berwickshire, Roxburgh and Selkirk",600,Roxburgh and Berwickshire
48,Berwick-upon-Tweed,24,Berwick upon Tweed
49,Bethnal Green & Bow,58,Bethnal Green and Bow
50,Beverley & Holderness,69,Beverley and Holderness
51,Bexhill & Battle,27,Bexhill and Battle
52,Bexleyheath & Crayford,28,Bexleyheath and Crayford
53,Billericay,29,Billericay
54,Birkenhead,30,Birkenhead
55,"Birmingham, Edgbaston",31,Birmingham Edgbaston
56,"Birmingham, Erdington",32,Birmingham Erdington
57,"Birmingham, Hall Green",33,Birmingham Hall Green
58,"Birmingham, Hodge Hill",34,Birmingham Hodge Hill
59,"Birmingham, Ladywood",35,Birmingham Ladywood
60,"Birmingham, Northfield",36,Birmingham Northfield
61,"Birmingham, Perry Barr",37,Birmingham Perry Barr
62,"Birmingham, Selly Oak",38,Birmingham Selly Oak
63,"Birmingham, Sparkbrook & Small Heath",40,Birmingham Sparkbrook and Small Heath
64,"Birmingham, Yardley",41,Birmingham Yardley
65,Bishop Auckland,42,Bishop Auckland
66,Blaby,43,Blaby
67,Blackburn,44,Blackburn
68,Blackpool North & Fleetwood,45,Blackpool North and Fleetwood
69,Blackpool South,46,Blackpool South
70,Blaenau Gwent,526,Blaenau Gwent
71,Blaydon,47,Blaydon
72,Blyth Valley,48,Blyth Valley
73,Bognor Regis & Littlehampton,5,Bognor Regis and Littlehampton
74,Bolsover,49,Bolsover
75,Bolton North East,50,Bolton North East
76,Bolton South East,51,Bolton South East
77,Bolton West,52,Bolton West
78,Bootle,54,Bootle
79,Boston & Skegness,217,Boston and Skegness
80,Bosworth,55,Bosworth
81,Bournemouth East,56,Bournemouth East
82,Bournemouth West,57,Bournemouth West
83,Bracknell,147,Bracknell
84,Bradford North,59,Bradford North
85,Bradford South,60,Bradford South
86,Bradford West,61,Bradford West
87,Braintree,62,Braintree
88,Brecon & Radnorshire,527,Brecon and Radnorshire
89,Brent East,63,Brent East
90,Brent North,64,Brent North
91,Brent South,65,Brent South
92,Brentford & Isleworth,66,Brentford and Isleworth
93,Brentwood & Ongar,67,Brentwood and Ongar
94,Bridgend,528,Bridgend
95,Bridgwater,68,Bridgwater
96,Brigg & Goole,53,Brigg and Goole
97,"Brighton, Kemptown",71,Brighton Kemptown
98,"Brighton, Pavilion",72,Brighton Pavilion
99,Bristol East,73,Bristol East
100,Bristol North West,74,Bristol North West
101,Bristol South,75,Bristol South
102,Bristol West,76,Bristol West
103,Bromley & Chislehurst,104,Bromley and Chislehurst
104,Bromsgrove,77,Bromsgrove
105,Broxbourne,78,Broxbourne
106,Broxtowe,79,Broxtowe
107,Buckingham,80,Buckingham
108,Burnley,81,Burnley
109,Burton,82,Burton
110,Bury North,83,Bury North
111,Bury South,84,Bury South
112,Bury St Edmunds,718,Bury St Edmunds
113,Caernarfon,529,Caernarfon
114,Caerphilly,530,Caerphilly
