PA05,Seat05,Region,County,margin05,battle05,Win05,Sec05,con05,lab05,ld05,snp05,pc05,bnp05,ukip05,grn05,oth05,maj05,turn05,elec05,con0105,lab0105,ld0105,bnp0105,ukip0105,turn0105,elec0105,swing05,convt05,labvt05,ldvt05,snpvt05,pcvt05,bnpvt05,grnvt05,ukipvt05,othvt05,majvt05,totvt05,MP01,Minister05,Retire05,Byelec0105,Conppc05,Labppc05,LDppc05,Consex05,Labsex05,LDSex05,LabAws05,Conrace05,Labrace05,LDrace05,ConInc05,LabInc05,LDInc05,csi05,Margin01,Battle01,win01,sec01,Conseat01,Labseat01,LDseat01,turn01,maj01,con01,lab01,ld01,snp01,pc01,bnp01,grn01,ukip01,oth01,swing01,seatch01,convt01,labvt01,ldvt01,snpvt01,pcvt01,ukipvt01,grnvt01,bnpvt01,othvt01,majvt01,totvt01,elec01,con9701,lab9701,ld9701,turn9701,Old_PA,seat01,conppc01,labppc01,ldppc01,coninc01,labinc01,ldinc01,consex01,labsex01,ldsex01,labrac01,ldrace01,conrac01,win97,sec97,turn97,maj97,con97,lab97,ld97,snp97,pc97,ref97,other97,swg9297,allswg97,gain97,convt97,labvt97,ldvt97,snpvt97,pcvt97,refvt97,othvt97,majvt97,elec97,totvt97,conppc97,labppc97,ldppc97,natppc97,consex97,ldsex97,labsex97,natsex97,conrace97,labrace97,ldrace97,natrac97,win92,sec92,turn92,maj92,con92,lab92,ld92,snp92,pc92,oth92,convt92,labvt92,ldvt92,othvt92,natvt92,majvt92,totvt92,elec92,ownocc91,owner91,rentpriv91,hse_ass91,council91,sec_home91,car91,oneroom91,no_ch91,white91,black91,Asian91,othernw91,nonwhite91,ecactive91,inactive91,ft_work91,pt_work91,selfempl91,govscheme91,dole97,under_16,age16_24,age25_39,age40_65,pension91,workage91,lone91,migrants91,illness91,seg_i,seg_ii,seg_iiin,seg_iiim,seg_iv,seg_v,tot_pop_2000,acorn1,acorn2,acorn3,acorn4,acorn5,acorn6,acorn7,acorn8,acorn9,acorn10,acorn11,acorn12,acorn13,acorn14,acorn15,acorn16,TotPop01,Workage01,Hhold01,Pop_aged16_74,Men01,Women01,Under16_01,Over18_01,Pension01,Nonwhite01,Illness01,Migrant01,Working01,Dole01,Nonwork01,NoQual01,Manfact01,Bus01,OwnOcc01,Rent01,Car01,Single01,Couple01,Lone01,Retired01,SEG1_01,SEG2_01,SEG3_01,SEG4_01,SEG5_01,SEG6_01,SEG7_01,SEG8_01,SEG9_01,SEG10_01,SEG11_01,SEG12_01,Christian
1,Aberavon,10,55,5.00,5.00,2,3,10.2,60.0,13.8,,11.8,,,1.7,2.6,46.3,58.9,"51,080",2.6,-3.1,4.0,,,-1.9,1420.0,2.8,"3,064","18,077","4,140",,"3,545",,510,,768,"13,937","30,104",Hywel Francis MP,0,0,.00,Annunziata Rees-Mogg,Hywel Francis MP,Claire Waller,1.0,.0,1.0,.0,.0,.0,.0,.0,1.0,.0,.0,5,6,2,4,.00,1.00,.00,60.8,53.4,7.6,63.1,9.7,,9.8,,,,9.7,3.95,0,"2,296","19,063","2,933",0,"2,955",0,0,0,"2,943","16,108","30,190","49,660",-.3,-8.2,-1.6,-11.1,1,Aberavon,Ali Miraj,Hywel Francis,Chris Davies,0,0,0,0,0,0,0,0,1,2,3,71.9,60.0,7.9,71.3,11.3,.0,5.8,2.7,.9,5.1,2.7,0,"2,835","25,650","4,079",0,"2,088",970,341,"21,571","50,025","35,963",Peter Harper,John Morris,Ron McConville,Phil Cockwell,0,0,0,0,0,0,0,0,2,1,77.0,53.2,13.9,67.1,12.5,.0,4.8,1.8,"5,567","26,877","4,999",707,"1,919","21,310","40,069","52,038",70.4,30.4,2.7,1.8,24.1,.1,60.8,1.1,20.8,99.2,.3,.2,.2,.8,67.5,32.5,64.4,15.0,7.0,2.2,11.4,19.8,11.7,20.5,26.7,21.3,58.9,20.7,6.7,22.0,3.5,19.9,11.4,34.4,19.9,8.3,64922,2.4,.0,.0,.7,5.8,.0,.0,.1,7.9,36.4,31.3,.8,3.5,10.3,.7,.2,"63,150","45,029","27,209","45,029","30,522","32,628",19.7,77.7,21.6,1.2,30.7,2.9,48.6,4.0,45.7,41.5,24.7,6.1,69.9,30.1,67.4,30.3,41.9,12.7,27.0,1.3,2.1,12.0,7.2,4.0,9.2,13.6,12.9,3.9,1.3,4.9,27.7,72.4
2,Aberdeen North,11,58,4.00,5.00,2,3,9.4,42.5,23.9,22.3,,,,,1.9,18.5,55.7,"65,714",-1.1,-6.8,11.7,,,,-3908.0,2.9,"3,456","15,557","8,762","8,168",,,,,691,"6,795","36,634",Frank Doran,0,0,.00,David Anderson,Frank Doran MP,Steve Delaney,.0,.0,.0,.0,.0,.0,.0,.0,1.0,.0,.0,5,6,2,5,.00,1.00,.00,,23.7,10.5,49.3,12.2,25.6,,,,,2.4,,,"4,111","19,365","4,806","10,071",0,0,0,0,935,"9,294","39,288","69,622",,,,,3,Aberdeen North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Aberdeen South,11,58,1.00,5.00,2,3,17.1,36.7,33.5,9.9,,,,1.8,1.0,3.2,62.1,"67,012",-2.7,-1.3,4.9,,,,-2320.0,-.7,"7,134","15,272","13,924","4,120",,,768,,403,"1,348","41,621",Anne Begg MP,0,0,.00,Stewart Whyte,Anne Begg MP,Vicki Harris,.0,1.0,1.0,.0,.0,.0,.0,.0,1.0,.0,.0,2,5,2,3,.00,1.00,.00,,9.5,19.8,38.0,28.6,12.2,,,,,1.4,,,"8,202","15,753","11,822","5,065",0,0,0,0,566,"3,931","41,408","69,332",,,,,4,Aberdeen South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Aberdeenshire West & Kincardine,11,58,4.00,7.00,3,1,28.4,13.1,46.3,11.3,,,,,.9,17.9,63.5,"65,548",-2.1,.8,2.3,,,,3334.0,-1.5,"11,814","5,470","19,285","4,700",,,,,379,"7,471","41,648",Sir Robert Smith MP,0,0,.00,Alex Johnstone MSP,James Barrowman,Sir Robert Smith MP,.0,.0,.0,.0,.0,.0,.0,.0,1.0,1.0,.0,3,7,3,1,.00,.00,1.00,,13.4,30.5,12.3,44.0,12.1,,,,,1.1,,,"11,694","4,696","16,840","4,648",0,0,0,0,424,"5,146","38,302","62,214",,,,,5,Aberdeenshire West & Kincardine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Airdrie and Shotts,11,62,5.00,6.00,2,5,9.9,59.0,11.4,16.5,,,,,3.1,42.5,53.5,"61,955",3.8,.4,3.5,,,,-1354.0,1.7,"3,271","19,568","3,792","5,484",,,,,"1,043","14,084","33,158",Rt. Hon Helen Liddell MP,0,1,.00,Stuart Cottis,John Reid MP,Helen Watt,.0,.0,1.0,.0,.0,.0,.0,.0,.0,.0,.0,5,6,2,5,.00,1.00,.00,,39.5,6.1,58.6,7.9,19.2,,,,,8.2,,,"2,100","20,125","2,697","6,580",0,0,0,0,"2,826","13,545","34,328","63,309",,,,,6,Airdrie and Shotts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Aldershot,1,25,3.00,2.00,1,3,42.7,20.6,31.7,,,,2.5,,2.6,11.1,61.3,"78,553",.6,-4.6,4.0,,.70,3.4,291.0,2.6,"20,572","9,895","15,238",,,,,"1,182","1,254","5,334","48,141",Gerald Howarth MP,0,0,.00,Gerald Howarth MP,Howard Linsley,Adrian Collett,.0,.0,.0,.0,.0,.0,.0,1.0,.0,.0,.0,3,2,1,3,1.00,.00,.00,57.9,14.5,42.2,25.1,27.7,,,,1.4,1.8,1.9,-.78,0,"19,106","11,391","12,542",0,0,797,630,0,849,"6,564","45,315","78,262",-.5,1.0,-2.8,-13.2,7,Aldershot,Gerald Howarth MP,Luke Akehurst,Adrian Collett,1,0,0,0,0,0,0,0,0,1,3,71.1,12.2,42.7,24.1,30.5,.0,.0,,2.7,12.9,9.8,0,"23,119","13,057","16,498",0,0,,"1,477","6,621","76,189","54,151",Gerald Howarth,Terence Bridgeman,Adrian Collett,,0,0,0,,0,0,0,,1,3,78.3,31.7,58.1,13.8,26.4,.0,.0,1.6,"34,300","8,154","15,584",956,0,"18,716","58,994","75,321",71.9,15.6,6.7,1.8,13.8,.1,81.2,1.9,7.0,97.7,.6,.7,1.0,2.3,83.8,16.2,70.6,14.1,9.3,.6,5.3,21.6,15.7,26.1,24.6,12.0,66.5,14.2,14.4,7.7,9.5,31.2,13.0,24.3,10.3,4.2,116293,16.3,.0,.6,18.8,18.9,3.0,.6,5.0,10.0,10.0,3.8,1.8,2.5,7.6,.4,.5,"117,847","86,869","45,336","86,869","59,648","58,199",21.2,76.0,13.2,4.0,12.6,7.7,73.0,1.9,22.6,21.8,11.4,6.8,75.9,24.1,85.1,24.0,53.9,8.3,17.8,4.7,6.5,22.9,14.0,6.6,8.2,11.5,7.7,1.0,.4,5.2,11.5,73.7
7,Aldridge - Brownhills,5,7,3.00,1.00,1,2,47.4,33.5,12.3,,,4.1,2.8,,.0,13.9,64.0,"61,761",-2.8,-6.8,3.7,,,3.4,-627.0,2.0,"18,744","13,237","4,862",,,"1,620",,"1,093",0,"5,507","39,556",Richard Shepherd MP,0,0,.00,Richard Shepherd MP,John Phillips,Roy Sheward,.0,.0,.0,.0,.0,.0,.0,1.0,.0,.0,.0,2,1,1,2,1.00,.00,.00,60.6,10.0,50.2,40.2,8.6,,,,,,1.0,2.26,0,"18,974","15,206","3,251",0,0,0,0,0,379,"3,768","37,810","62,388",3.0,-1.5,-2.6,-13.7,8,Aldridge - Brownhills,Richard Shepherd MP,Ian Geary,Monica Howes,1,0,0,0,0,1,0,0,0,1,2,74.3,5.4,47.1,41.7,11.2,.0,.0,,,7.8,7.8,0,"21,856","19,330","5,184",0,0,,,"2,526","62,441","46,370",Richard Sheperd,Janos Toth,Celia Downie,,0,1,0,,0,0,0,,1,2,81.9,21.1,54.3,33.3,12.4,.0,.0,.0,"28,431","17,407","6,503",0,0,"11,024","52,341","63,920",73.0,27.5,2.6,1.4,22.0,.0,73.9,1.4,19.7,98.0,.5,1.1,.4,2.0,79.7,20.3,64.5,15.9,10.2,1.3,8.0,18.2,13.0,19.5,31.4,18.0,63.8,13.5,6.1,12.0,4.9,30.5,12.1,33.8,13.0,3.9,80811,14.3,.0,.2,3.8,10.9,.1,.0,.4,18.8,18.1,20.7,.3,3.4,7.3,1.1,.6,"78,824","57,742","32,390","57,742","38,309","40,515",19.1,78.6,21.7,4.1,19.8,4.2,61.4,3.0,33.9,36.5,23.9,10.4,76.5,23.5,77.9,25.5,50.5,8.2,26.9,3.5,3.3,18.0,9.4,6.5,8.0,13.0,10.0,1.8,.9,4.5,21.0,81.0
8,Altrincham & Sale West,8,3,4.00,1.00,1,2,46.4,30.3,21.7,,,,1.7,,.0,16.2,65.9,"67,247",.3,-9.2,7.2,,,5.2,-4573.0,4.7,"20,569","13,410","9,595",,,,,736,0,"7,159","44,310",Graham Brady MP,0,0,.00,Graham Brady MP,John Stockton,Ian Chappell,.0,.0,.0,.0,.0,.0,.0,1.0,.0,.0,.0,2,1,1,2,1.00,.00,.00,60.7,6.8,46.2,39.4,14.4,,,,,,,1.92,0,"20,113","17,172","6,283",0,0,0,0,0,0,"2,941","43,568","71,820",3.0,-.8,1.8,-12.7,9,Altrincham & Sale West,Graham Brady MP,Jane Baugh,Christopher Gaskell,1,0,0,0,1,0,0,0,0,1,2,73.3,2.9,43.2,40.3,12.6,.0,.0,2.6,1.4,12.6,12.6,0,"22,348","20,843","6,535",0,0,"1,348",708,"1,505","70,625","51,782",Graham Brady,Jane Baugh,Marc Ramsbottom,,0,0,1,,0,0,0,,1,2,78.4,28.0,54.5,26.4,18.4,.0,.0,.7,"30,343","14,727","10,261",366,0,"15,616","55,697","71,031",77.0,27.8,5.9,1.5,14.6,.1,75.5,.9,16.6,97.5,.5,1.1,1.0,2.5,77.8,22.2,63.8,16.3,12.9,.7,6.4,19.5,12.1,20.8,28.5,19.0,61.5,15.6,8.1,10.9,13.5,40.7,16.4,17.5,8.4,2.4,95441,36.9,.0,1.2,3.3,9.4,6.8,.9,.7,17.2,5.4,5.3,3.7,1.1,6.6,.6,1.0,"90,244","64,799","37,793","64,799","43,876","46,368",20.2,77.2,19.3,4.8,16.1,5.1,65.2,2.2,30.4,20.3,11.4,10.8,77.5,22.5,81.1,29.3,47.7,8.4,24.3,5.4,9.3,23.6,10.6,7.0,5.2,8.4,5.2,1.6,.6,5.7,17.5,76.9
9,Alyn & Deeside,10,48,5.00,4.00,2,1,25.2,48.8,17.4,,3.7,,2.6,,2.3,23.6,60.2,"58,939",-1.0,-3.5,4.4,,1.23,1.7,-1539.0,1.2,"8,953","17,331","6,174",,"1,320",,,918,800,"8,378","35,496",Mark Tami MP,0,0,.00,Lynne Hale,Mark Tami,Paul Brighton,1.0,.0,.0,.0,.0,.0,.0,.0,1.0,.0,.0,5,4,2,1,.00,1.00,.00,58.6,26.0,26.3,52.3,12.9,,3.3,,2.5,1.4,1.3,6.53,0,"9,303","18,525","4,585",0,"1,182",481,881,0,464,"9,222","35,421","60,478",3.5,-9.6,3.2,-13.6,10,Alyn & Deeside,Mark Isherwood,Mark Tami,Derek Burnham,0,0,0,0,0,0,0,0,0,2,1,72.2,39.1,22.8,61.9,9.7,.0,1.8,3.9,,12.6,12.5,0,"9,552","25,955","4,076",0,738,"1,627",,"16,403","58,091","41,948",Timothy Roberts,Barry Jones,Eleanor Burnham,Siw Hills,0,1,0,1,0,0,0,0,2,1,78.7,14.0,36.9,50.9,9.7,.0,1.1,1.4,"16,770","23,157","4,431",633,517,"6,387","45,508","57,815",76.5,26.1,3.9,1.4,16.7,.1,75.9,1.3,16.3,99.4,.1,.2,.3,.6,78.1,21.9,67.2,15.2,9.3,1.3,7.0,20.7,13.4,21.8,27.6,16.6,62.8,15.4,7.2,12.2,3.9,27.2,11.4,33.4,16.4,4.5,78332,16.3,.0,.3,5.5,20.2,.0,.0,.0,13.7,19.7,14.8,.8,2.7,5.3,.2,.5,"78,967","57,177","32,052","57,177","38,749","40,218",21.1,76.3,16.6,.9,18.1,4.4,64.1,3.2,30.7,28.5,26.0,5.7,76.5,23.5,81.2,26.3,51.1,9.8,21.3,2.9,3.3,17.3,9.2,5.6,11.4,14.4,11.2,1.6,.8,4.9,17.5,78.6
10,Amber Valley,6,18,3.00,4.00,2,1,34.4,45.6,13.1,,,2.6,1.7,,2.6,11.1,62.9,"75,376",-1.2,-6.3,.7,,,2.6,1578.0,2.6,"16,318","21,593","6,225",,,"1,243",,788,"1,224","5,275","47,391",Judy Mallaber MP,0,0,.00,Gillian Shaw,Judy Mallaber MP,Kate Smith,1.0,1.0,1.0,.0,.0,.0,.0,.0,1.0,.0,.0,4,4,2,1,.00,1.00,.00,60.3,16.2,35.7,51.9,12.4,,,,,,,2.48,0,"15,874","23,101","5,538",0,0,0,0,0,0,"7,227","44,513","73,798",2.2,-2.8,4.7,-15.8,11,Amber Valley,Gillian Shaw,Judy Mallaber MP,Kate Smith,0,1,0,1,1,1,0,0,0,2,1,76.1,21.2,33.5,54.7,7.7,.0,.0,4.2,,11.7,11.7,2,"18,330","29,943","4,219",0,0,"2,283",,"11,613","72,005","54,775",Phillip Oppenheim,Judy Mallaber,Roger Shelley,,0,0,1,,0,0,0,,1,2,83.7,2.1,46.5,44.4,9.1,.0,.0,.0,"28,360","27,077","5,582",0,0,"1,283","61,019","72,931",75.8,32.0,4.4,1.8,16.9,.1,70.1,1.3,14.4,99.3,.2,.3,.2,.7,79.3,20.7,65.4,15.8,10.4,.9,7.6,18.8,12.3,21.2,28.2,19.3,61.8,12.6,7.0,13.1,5.0,26.2,10.4,37.9,13.4,5.3,94139,11.1,.1,.1,1.5,9.0,.0,.0,.0,13.7,40.0,15.0,.0,3.7,5.3,.1,.4,"92,188","66,822","38,831","66,822","45,039","47,149",19.4,78.2,19.2,.9,20.4,3.8,62.5,3.2,32.5,36.4,29.2,5.6,76.2,23.8,76.0,27.4,50.6,8.6,24.6,3.1,3.2,15.8,7.7,6.8,9.6,13.4,14.5,1.6,.9,4.1,19.3,75.4
