Year,Conservatives,Labour,Liberal Democrats,SNP,Plaid Cymru,Greens,UKIP,Total
2010,10703654,8606517,6836248,491386,165394,265243,919471,29022572
2005,8784915,9552436,5985454,412267,174838,257758,605973,26431968
2001,8357615,10724953,4814321,464314,195893,166477,390563,25758278
1997,9600943,13518167,5242947,621550,161030,61731,105722,30516135
1992,14093007,11560484,5999606,629564,156796,170047,,32889280
1987,13760935,10029270,7341651,416473,123599,89753,,31819647
1983,13012316,8456934,7781027,331975,125309,54299,,29923625
1979,13697923,11532218,4313804,504259,132544,39918,,30591121
1974.5,10462565,11457079,5346704,839617,166321,,,28510338
1974,11872180,11645616,6059519,633180,171374,,,30628152
1970,13145123,12208758,2117035,306802,175016,,,28098652
1966,11418455,13096629,2327457,128474,61071,,,27264747
1964,12002642,12205808,3099283,64044,69507,,,27657148
1959,13750875,12216172,1640760,21738,77571,,,27862652
1955,13310891,12405254,722402,12112,45119,,,26759729
1951,13717850,13948883,730546,7299,10920,,,28596594
1950,12492404,13266176,2621487,9708,17580,,,28771124
1945,9402863,11967746,2177938,26707,16017,,,24073025
