start,end,house,samplesize,Conservatives,Labour,Liberal Democrats,NationalPartiesinUK,Greens,UKIP,Other,NationalPartiesinScotland,samplesizeScotland,NationalPartiesinWalesMidlands,samplesizeWalesMidlands
08/05/2014,09/05/2014,YouGov,1905,31,38,9,3,4,13,1,25,166,3,408
11/05/2014,12/05/2014,YouGov,1680,35,36,9,3,3,14,2,24,146,1,360
13/05/2014,14/05/2014,YouGov,1968,32,35,10,4,4,13,2,31,171,2,421
15/05/2014,16/05/2014,YouGov,1892,34,37,9,3,4,13,2,27,165,1,405
18/05/2014,19/05/2014,YouGov,1740,33,37,9,3,6,11,2,21,151,2,372
20/05/2014,21/05/2014,YouGov,6124,33,36,9,3,4,13,2,29,533,2,1311
22/05/2014,23/05/2014,YouGov,1898,34,35,9,3,5,13,1,28,165,2,406
26/05/2014,27/05/2014,YouGov,2079,32,34,8,4,5,15,1,37,181,1,445
28/05/2014,29/05/2014,YouGov,2123,31,38,7,4,4,16,1,34,185,2,454
01/06/2014,02/06/2014,YouGov,1740,30,36,8,3,5,17,1,25,151,2,372
03/06/2014,04/06/2014,YouGov,1951,32,37,7,4,5,13,1,29,170,4,418
05/06/2014,06/06/2014,YouGov,2134,33,37,7,3,5,14,1,30,186,2,457
08/06/2014,09/06/2014,YouGov,1685,31,37,7,4,5,15,1,32,147,2,361
10/06/2014,11/06/2014,YouGov,2157,34,36,6,2,5,14,1,24,188,1,462
12/06/2014,13/06/2014,YouGov,2106,33,37,8,3,5,13,1,28,183,1,451
15/06/2014,16/06/2014,YouGov,1696,32,36,10,3,5,14,1,22,148,2,363
17/06/2014,18/06/2014,YouGov,2066,34,38,7,3,5,13,1,26,180,2,442
19/06/2014,20/06/2014,YouGov,2016,32,38,8,3,5,14,1,26,175,2,431
22/06/2014,23/06/2014,YouGov,1652,32,36,9,3,4,15,0,35,144,1,354
24/06/2014,25/06/2014,YouGov,2044,32,37,7,3,5,14,2,26,178,2,437
26/06/2014,27/06/2014,YouGov,1936,33,37,8,3,5,14,1,26,168,1,414
29/06/2014,30/06/2014,YouGov,1729,35,37,8,3,3,12,2,24,150,3,370
01/07/2014,02/07/2014,YouGov,1992,35,37,8,3,5,12,2,25,173,1,426
03/07/2014,04/07/2014,YouGov,2095,34,36,8,3,5,13,0,27,182,2,448
06/07/2014,07/07/2014,YouGov,1650,34,37,9,2,4,13,1,24,144,2,353
08/07/2014,09/07/2014,YouGov,2034,32,36,10,3,5,12,2,28,177,1,435
10/07/2014,11/07/2014,YouGov,1963,33,38,9,3,4,12,0,30,171,1,420
13/07/2014,14/07/2014,YouGov,1745,35,38,8,4,4,10,1,26,152,3,373
15/07/2014,16/07/2014,YouGov,2107,33,36,9,3,4,13,2,30,183,2,451
17/07/2014,18/07/2014,YouGov,2078,32,37,9,3,5,13,1,26,181,1,445
20/07/2014,21/07/2014,YouGov,1634,34,38,9,3,4,11,2,22,142,3,350
22/07/2014,23/07/2014,YouGov,1897,34,38,8,3,4,12,1,23,165,1,406
24/07/2014,25/07/2014,YouGov,1741,35,36,8,3,5,13,1,25,151,2,373
27/07/2014,28/07/2014,YouGov,1658,33,39,8,3,4,12,1,27,144,1,355
29/07/2014,30/07/2014,YouGov,2100,35,37,8,3,4,12,1,24,183,1,449
31/07/2014,01/08/2014,YouGov,2083,35,38,7,3,4,12,1,23,181,3,446
03/08/2014,04/08/2014,YouGov,1617,34,38,6,3,4,13,1,33,141,1,346
05/08/2014,06/08/2014,YouGov,1944,34,37,9,3,4,12,1,28,169,2,416
07/08/2014,08/08/2014,YouGov,1943,33,37,8,3,4,13,1,31,169,1,416
10/08/2014,11/08/2014,YouGov,1676,33,37,8,3,5,12,1,24,146,2,359
12/08/2014,13/08/2014,YouGov,2116,34,36,10,3,4,12,1,26,184,1,453
14/08/2014,15/08/2014,YouGov,2019,34,38,7,3,4,13,2,27,176,1,432
17/08/2014,18/08/2014,YouGov,1710,33,38,8,3,4,12,1,32,149,1,366
19/08/2014,20/08/2014,YouGov,2070,34,38,9,3,4,11,1,28,180,2,443
21/08/2014,22/08/2014,YouGov,1866,34,36,8,3,5,14,0,28,162,2,399
26/08/2014,27/08/2014,YouGov,2129,34,35,7,4,6,14,1,35,185,2,456
28/08/2014,29/08/2014,YouGov,2010,32,36,7,3,4,16,1,28,175,1,430
31/08/2014,01/09/2014,YouGov,1704,34,35,7,3,5,14,1,28,148,2,365
02/09/2014,03/09/2014,YouGov,2103,33,36,7,4,5,14,1,33,183,2,450
04/09/2014,05/09/2014,YouGov,1961,33,35,7,4,4,15,1,35,171,1,420
07/09/2014,08/09/2014,YouGov,1724,31,36,8,3,5,16,1,28,150,2,369
09/09/2014,10/09/2014,YouGov,2122,32,38,6,4,5,14,1,31,185,1,454
11/09/2014,12/09/2014,YouGov,1900,32,35,7,4,6,15,2,34,165,2,407
14/09/2014,15/09/2014,YouGov,1703,31,35,7,4,6,15,0,33,148,1,364
16/09/2014,17/09/2014,YouGov,2029,33,36,8,3,5,13,1,28,177,2,434
18/09/2014,19/09/2014,YouGov,2126,31,36,7,4,5,16,1,31,185,3,455
21/09/2014,22/09/2014,YouGov,1671,33,35,7,4,5,14,2,40,145,2,358
23/09/2014,24/09/2014,YouGov,2117,33,37,7,4,5,13,2,38,184,3,453
25/09/2014,26/09/2014,YouGov,1992,31,36,6,5,6,15,1,43,173,3,426
28/09/2014,29/09/2014,YouGov,1715,31,36,7,5,4,16,1,44,149,1,367
30/09/2014,01/10/2014,YouGov,2068,31,38,7,3,5,15,0,33,180,1,443
01/10/2014,02/10/2014,YouGov,2133,35,34,6,4,5,14,2,39,186,1,456
02/10/2014,03/10/2014,YouGov,2130,36,34,7,4,5,13,1,37,185,2,456
05/10/2014,06/10/2014,YouGov,1739,35,33,8,4,4,13,2,37,151,2,372
06/10/2014,07/10/2014,YouGov,2155,32,34,8,5,5,15,1,47,187,2,461
07/10/2014,08/10/2014,YouGov,1862,33,34,7,5,6,14,1,42,162,1,398
