start,end,house,Conservatives,Labour,Liberal Democrats,SNP,Plaid Cymru,Greens,UKIP,Other
08/05/2014,08/05/2014,Opinium,423,476,131,47,9,65,284,20
08/05/2014,08/05/2014,Populus,349,396,94,33,5,43,175,9
09/05/2014,11/05/2014,ICM,146,137,45,12,7,16,75,6
09/05/2014,11/05/2014,Ashcroft,152,150,36,14,1,25,75,13
09/05/2014,11/05/2014,Survation,248,296,90,24,13,28,174,12
09/05/2014,11/05/2014,Populus,408,428,100,40,7,31,152,12
10/05/2014,12/05/2014,Ipsos MORI,169,185,51,22,3,42,62,6
14/05/2014,15/05/2014,ComRes Online,450,515,121,53,11,61,299,32
14/05/2014,15/05/2014,Populus,363,396,109,40,6,35,151,17
16/05/2014,18/05/2014,ComRes,210,242,48,13,4,36,103,39
16/05/2014,18/05/2014,Ashcroft,141,175,40,18,4,25,75,16
16/05/2014,18/05/2014,Populus,397,377,95,38,7,36,154,18
18/06/2014,19/05/2014,Populus,379,407,94,46,4,36,142,15
19/05/2014,20/05/2014,Survation,227,283,62,34,2,23,174,10
21/05/2014,22/05/2014,Populus,390,408,108,33,6,32,158,14
20/05/2014,23/05/2014,Opinium,472,491,103,48,4,55,282,31
23/05/2014,23/05/2014,Survation,218,271,65,34,3,28,200,13
23/05/2014,25/05/2014,Ashcroft,150,161,38,14,3,38,91,27
23/05/2014,26/05/2014,Populus,393,422,107,31,4,39,159,14
25/05/2014,26/05/2014,Populus,371,389,92,37,3,58,145,8
28/05/2014,29/05/2014,Populus,386,394,101,40,3,44,159,8
30/05/2014,01/06/2014,Ashcroft,127,180,31,16,5,34,100,27
30/05/2014,01/06/2014,Populus,373,423,120,38,3,38,150,8
03/06/2014,05/06/2014,Opinium,443,510,82,47,12,62,270,19
04/06/2014,06/06/2014,Populus,378,388,98,29,8,52,154,10
06/06/2014,08/06/2014,Populus,400,412,106,31,6,31,158,12
10/06/2014,12/06/2014,TNS,239,283,41,18,6,29,178,26
11/06/2014,12/06/2014,Populus,380,412,100,34,8,61,175,10
13/06/2014,15/06/2014,ICM,156,161,39,20,4,29,84,6
13/06/2014,15/06/2014,Ashcroft,133,167,32,14,5,32,74,17
13/06/2014,15/06/2014,Populus,383,439,104,31,4,44,156,11
14/06/2014,17/06/2014,Ipsos MORI,163,179,42,20,4,40,77,8
17/06/2014,19/06/2014,Opinium,445,511,98,52,11,67,244,26
20/06/2014,22/06/2014,Ashcroft,138,175,46,14,4,35,91,14
20/06/2014,22/06/2014,Populus,381,447,113,38,7,39,151,17
27/06/2014,27/06/2014,Survation,210,287,40,28,4,36,180,8
27/06/2014,29/06/2014,ComRes,187,197,44,16,4,35,122,25
27/06/2014,29/06/2014,Ashcroft,150,141,37,11,4,30,72,12
27/06/2014,29/06/2014,Populus,398,437,115,33,6,43,146,10
01/07/2014,03/07/2014,Opinium,421,503,97,55,5,65,258,25
02/07/2014,03/07/2014,Populus,391,409,101,40,6,42,160,7
04/07/2014,06/07/2014,Populus,356,442,106,37,3,44,158,11
04/07/2014,06/07/2014,Ashcroft,121,164,54,14,2,29,75,19
09/07/2014,10/07/2014,Populus,391,411,97,40,12,52,143,7
11/07/2014,13/07/2014,Populus,394,428,102,29,7,39,134,11
11/07/2014,13/07/2014,Ashcroft,145,161,28,10,1,28,66,17
11/07/2014,13/07/2014,ICM,156,157,39,16,5,17,44,16
12/07/2014,15/07/2014,Ipsos MORI,165,183,43,19,1,42,63,8
15/07/2014,17/07/2014,Opinium,454,509,138,59,3,58,255,16
16/07/2014,17/07/2014,Populus,388,391,93,35,3,38,154,15
16/07/2014,18/07/2014,ComRes Online,243,273,69,26,1,40,139,9
18/07/2014,20/07/2014,Populus,381,437,107,34,3,42,157,14
18/07/2014,20/07/2014,Ashcroft,142,186,35,11,2,41,92,25
23/07/2014,24/07/2014,Populus,404,421,108,41,7,49,109,12
25/07/2014,27/07/2014,Populus,380,426,104,25,3,53,141,9
25/07/2014,27/07/2014,Ashcroft,156,168,42,12,5,29,74,13
25/07/2014,27/07/2014,ComRes,182,227,48,16,4,52,124,23
30/07/2014,31/07/2014,Populus,407,418,97,36,6,48,148,9
29/07/2014,01/08/2014,Opinium,457,496,102,55,10,66,209,29
01/08/2014,03/08/2014,Populus,475,524,138,37,7,47,170,18
01/08/2014,03/08/2014,Ashcroft,194,245,58,15,2,46,124,21
06/08/2014,07/08/2014,Populus,418,407,100,32,5,37,132,18
08/08/2014,11/08/2014,Populus,379,425,104,43,5,34,142,11
08/08/2014,10/08/2014,ICM,154,195,47,15,3,21,52,7
09/08/2014,11/08/2014,Ipsos MORI,174,174,37,17,3,37,67,14
13/08/2014,14/08/2014,Populus,373,408,103,39,5,53,161,8
12/08/2014,15/08/2014,Opinium,415,475,141,42,8,63,302,16
15/08/2014,17/08/2014,Populus,368,428,102,35,6,39,156,10
20/08/2014,21/08/2014,Populus,393,462,103,39,5,37,130,8
20/08/2014,22/08/2014,ComRes Online,489,527,128,48,9,52,271,14
22/08/2014,25/08/2014,Populus,375,453,101,30,6,41,175,10
27/08/2014,28/08/2014,Populus,398,389,91,46,5,53,148,9
29/08/2014,31/08/2014,Populus,371,421,109,31,8,37,173,13
26/08/2014,29/08/2014,Opinium,436,527,108,66,9,59,242,23
29/08/2014,31/08/2014,ComRes,180,223,57,15,5,37,110,17
03/09/2014,04/09/2014,Populus,359,420,93,34,7,42,157,9
05/09/2014,07/09/2014,Populus,407,428,103,38,7,47,145,16
05/09/2014,07/09/2014,Ashcroft,190,267,54,12,3,50,136,22
06/09/2014,09/09/2014,Ipsos MORI,186,183,41,22,1,33,80,4
10/09/2014,11/09/2014,Populus,366,411,103,34,5,27,141,13
09/09/2014,11/09/2014,Opinium,425,546,103,48,11,61,279,15
12/09/2014,12/09/2014,Survation,302,344,79,20,3,25,185,27
12/09/2014,14/09/2014,Populus,394,406,98,47,5,34,153,11
12/09/2014,14/09/2014,Ashcroft,162,168,42,16,1,31,74,14
12/09/2014,14/09/2014,ICM,160,181,36,17,4,35,48,9
12/09/2014,16/09/2014,Survation,268,309,101,27,4,35,166,10
12/09/2014,17/09/2014,Ashcroft,1476,1723,338,174,31,247,947,50
17/09/2014,18/09/2014,Populus,422,467,114,41,4,47,190,18
19/09/2014,21/09/2014,Populus,380,432,103,34,6,47,144,10
19/09/2014,21/09/2014,Ashcroft,152,185,45,25,3,37,99,17
24/09/2014,25/09/2014,Populus,371,413,102,37,6,36,141,10
24/09/2014,26/09/2014,ComRes Online,442,531,101,56,7,64,282,17
