House,Date,Con,Lab,LD
MORI/Evening Standard,05/05/2005,33,38,23
Harris,04/05/2005,33,38,22
YouGov/Telegraph,04/05/2005,32,37,24
YouGov/Sky News,03/05/2005,32,36,25
ICM/Guardian,03/05/2005,32,38,22
NOP/Independent,03/05/2005,33,36,23
Populus/Times,03/05/2005,32,38,21
MORI/FT,01/05/2005,29,39,22
YouGov/Telegraph,01/05/2005,33,36,24
YouGov/Sunday Times,30/04/2005,33,36,23
MORI/Observer,29/04/2005,33,36,22
BPIX/Mail on Sunday,29/04/2005,33,37,21
ICM/Sunday Telegraph,29/04/2005,31,39,22
CommRes/Independent on Sunday,28/04/2005,31,39,23
YouGov/Telegraph,28/04/2005,32,36,24
ICM/Guardian,26/04/2005,33,40,20
MORI/FT,25/04/2005,34,36,23
NOP/Independent,24/04/2005,30,40,21
YouGov/Telegraph,24/04/2005,33,37,24
ICM/Mirror/GMTV,23/04/2005,33,39,20
YouGov/Sunday Times,23/04/2005,33,37,23
BPIX/Mail on Sunday,22/04/2005,34,36,22
CommRes/Independent on Sunday,22/04/2005,35,40,18
ICM/Sunday Telegraph,22/04/2005,33,39,21
YouGov/Telegraph,21/04/2005,34,37,22
MORI/Sun,19/04/2005,32,39,22
ICM/Guardian,19/04/2005,33,39,22
MORI/FT,18/04/2005,32,40,21
Populus/Times,17/04/2005,31,40,21
NOP/Independent,17/04/2005,32,37,21
YouGov/Telegraph,17/04/2005,32,36,23
ICM/Mirror/GMTV,16/04/2005,33,41,20
YouGov/Sunday Times,16/04/2005,35,36,23
CommRes/Independent on Sunday,15/04/2005,34,40,20
ICM/Sunday Telegraph,15/04/2005,30,40,22
BPIX/Mail on Sunday,15/04/2005,36,35,20
YouGov/Telegraph,14/04/2005,33,38,22
ICM/Guardian,12/04/2005,33,39,21
MORI/Evening Standard,11/04/2005,35,39,21
NOP/Independent,10/04/2005,32,38,21
YouGov/Telegraph,10/04/2005,36,36,20
ICM/Mirror/GMTV,09/04/2005,33,38,22
BPIX/Mail on Sunday,09/04/2005,37,37,20
MORI/Observer/Mirror,09/04/2005,33,40,19
YouGov/Sunday Times,09/04/2005,35,37,21
ICM/Sunday Telegraph,08/04/2005,34,38,20
YouGov/Telegraph,06/04/2005,35,36,21
YouGov/Sky News,05/04/2005,36,36,21
MORI/FT,03/04/2005,39,34,21
Populus/Times,03/04/2005,35,37,19
NOP/Independent,03/04/2005,33,36,21
ICM/Guardian,03/04/2005,34,37,21
CommRes/Independent on Sunday,25/03/2005,34,40,16
YouGov/Telegraph,24/03/2005,34,35,22
CommRes/Independent on Sunday,23/03/2005,31,43,17
MORI/FT,22/03/2005,37,37,20
ICM/Guardian,20/03/2005,32,40,20
YouGov/Sunday Times,19/03/2005,32,37,23
NOP/Independent,13/03/2005,34,39,19
Populus/Times,06/03/2005,32,39,20
YouGov/Telegraph,24/02/2005,32,38,21
CommRes/Independent on Sunday,24/02/2005,34,41,17
MORI/FT,21/02/2005,37,39,18
ICM/Guardian,20/02/2005,34,37,21
NOP/Independent,13/02/2005,30,42,18
Populus/Times,06/02/2005,32,41,18
YouGov/Mail on Sunday,05/02/2005,33,34,23
CommRes/Independent on Sunday,27/01/2005,32,40,20
YouGov/Telegraph,28/01/2005,33,35,23
YouGov/Telegraph,27/01/2005,34,35,22
ICM/Sunday Telegraph,27/01/2005,32,37,21
MORI/Observer,24/01/2005,32,38,22
ICM/Guardian,23/01/2005,31,38,21
YouGov/Sunday Times,11/01/2005,31,34,25
Populus/Times,09/01/2005,33,38,20
NOP/Independent,09/01/2005,32,38,21
ICM/News of the World,06/01/2005,31,38,21
2004,,,,
ICM/Guardian,19/12/2004,31,40,21
YouGov/Sunday Times,18/12/2004,32,35,23
YouGov/Telegraph,16/12/2004,32,35,21
CommRes/Independent on Sunday,16/12/2004,34,39,19
MORI,06/12/2004,30,35,26
Populus/Times,05/12/2004,33,37,20
YouGov/Telegraph,25/11/2004,32,35,23
