House,Date,Con,Lab,LD,UKIP
YouGov/Sun, 2014-05-21,33,36,9,13
YouGov/Sun, 2014-05-20,33,35,11,13
Survation/Mirror, 2014-05-20,28,35,8,21
YouGov/Sun, 2014-05-19,33,37,9,11
Populus/, 2014-05-18,35,34,8,14
ComRes/Independent, 2014-05-18,30,35,8,14
Ashcroft/, 2014-05-18,29,35,9,14
YouGov/Sunday Times, 2014-05-16,34,37,9,13
Populus/, 2014-05-15,32,36,10,13
YouGov/Sun, 2014-05-15,34,36,8,13
YouGov/Sun, 2014-05-14,32,35,10,13
YouGov/Sun, 2014-05-13,34,34,8,15
Ipsos-MORI/Evening Standard, 2014-05-12,31,34,9,11
YouGov/Sun, 2014-05-12,35,36,9,14
ICM/Guardian, 2014-05-11,33,31,13,15
Populus/, 2014-05-11,35,36,8,13
Ashcroft/, 2014-05-11,34,32,9,15
Survation/Mail on Sunday, 2014-05-09,28,34,10,20
YouGov/Sunday Times, 2014-05-09,31,38,9,13
Opinium/, 2014-05-08,29,33,9,20
Populus/, 2014-05-08,32,36,8,16
YouGov/Sun, 2014-05-08,34,35,8,13
YouGov/Sun, 2014-05-07,34,37,8,13
YouGov/Sun, 2014-05-06,34,35,9,14
Populus/, 2014-05-05,33,36,8,14
Survation/Mirror, 2014-05-03,33,34,8,18
YouGov/Sunday Times, 2014-05-02,33,36,9,15
Populus/, 2014-05-01,34,35,9,14
YouGov/Sun on Sunday, 2014-05-01,33,36,10,15
YouGov/Sun, 2014-05-01,33,36,10,14
YouGov/Sun, 2014-04-30,31,37,9,15
YouGov/Sun, 2014-04-29,32,37,9,14
YouGov/Sun, 2014-04-28,32,37,10,15
Populus/, 2014-04-27,32,35,10,15
Opinium/Observer, 2014-04-25,32,34,7,18
YouGov/Sunday Times, 2014-04-25,31,36,9,15
Populus/, 2014-04-24,35,35,9,13
YouGov/Sun, 2014-04-24,32,38,8,14
YouGov/Sun, 2014-04-23,32,37,10,15
YouGov/Sun, 2014-04-22,34,37,10,12
Populus/, 2014-04-21,33,36,10,13
YouGov/Sun, 2014-04-17,33,35,11,15
Populus/, 2014-04-16,34,35,9,14
YouGov/Sun, 2014-04-16,33,39,9,11
YouGov/Sun, 2014-04-15,34,37,10,13
YouGov/Sun, 2014-04-14,33,38,9,12
Populus/, 2014-04-13,33,35,11,13
ICM/Guardian, 2014-04-13,32,37,12,11
ComRes/Independent, 2014-04-13,30,36,9,12
YouGov/Sunday Times, 2014-04-11,32,38,8,14
Populus/, 2014-04-10,34,35,11,12
ComRes/Independent on Sunday (O), 2014-04-10,29,35,7,20
YouGov/Sun, 2014-04-10,32,38,8,14
Opinium/Observer, 2014-04-10,30,36,7,18
YouGov/Sun, 2014-04-09,33,36,10,14
YouGov/Sun, 2014-04-08,33,37,10,13
Ipsos-MORI/Evening Standard, 2014-04-07,31,37,9,15
YouGov/Sun, 2014-04-07,33,36,10,14
Populus/, 2014-04-06,34,37,9,14
YouGov/Sunday Times, 2014-04-04,34,39,9,12
