"startdate","enddate","house","refno","Conservatives","Labour","Liberal.Democrats","SNP","Plaid.Cymru","Greens","UKIP","Other","Total","generic"
270,363,"YouGov",1,3,10,2,0,2,1,6,0,24,TRUE
270,363,"YouGov",2,14,13,1,0,5,2,7,0,42,TRUE
270,363,"YouGov",3,9,5,2,14,0,1,2,1,34,TRUE
270,363,"YouGov",4,9,16,4,18,0,1,0,0,48,TRUE
270,363,"YouGov",5,9,3,4,17,0,0,1,0,34,TRUE
270,363,"YouGov",6,1,9,0,12,0,0,1,0,23,TRUE
270,363,"YouGov",7,15,7,2,0,0,5,4,0,33,TRUE
270,363,"YouGov",8,18,7,0,0,0,2,4,0,31,TRUE
270,363,"YouGov",9,26,13,2,0,0,3,5,0,49,TRUE
270,363,"YouGov",10,10,16,2,0,0,1,8,0,37,TRUE
270,363,"YouGov",11,10,8,2,0,0,3,2,0,25,TRUE
270,363,"YouGov",12,6,4,0,5,0,0,1,1,17,TRUE
270,363,"YouGov",16,6,7,0,0,4,2,2,0,21,TRUE
270,363,"YouGov",17,10,6,7,18,0,2,1,0,44,TRUE
270,363,"YouGov",18,20,3,3,0,0,2,10,1,39,TRUE
270,363,"YouGov",19,7,14,3,0,0,2,5,0,31,TRUE
270,363,"YouGov",20,22,17,3,0,0,5,14,0,61,TRUE
270,363,"YouGov",21,3,7,1,0,0,4,4,0,19,TRUE
270,363,"YouGov",22,30,5,3,0,0,1,12,1,52,TRUE
270,363,"YouGov",23,9,14,0,17,0,1,0,0,41,TRUE
270,363,"YouGov",24,6,15,0,15,0,3,4,0,43,TRUE
270,363,"YouGov",25,1,8,0,15,0,0,1,0,25,TRUE
270,363,"YouGov",26,25,14,2,0,0,1,4,1,47,TRUE
270,363,"YouGov",27,5,0,0,5,0,0,1,0,11,TRUE
270,363,"YouGov",28,3,4,0,0,0,1,6,0,14,TRUE
270,363,"YouGov",29,6,21,0,0,0,1,7,3,38,TRUE
270,363,"YouGov",30,5,12,1,0,0,1,5,0,24,TRUE
270,363,"YouGov",31,10,17,2,0,0,2,3,0,34,TRUE
270,363,"YouGov",32,8,9,3,0,0,1,7,0,28,TRUE
270,363,"YouGov",33,12,7,2,0,0,1,3,0,25,TRUE
270,363,"YouGov",34,20,11,3,0,0,1,8,0,43,TRUE
270,363,"YouGov",35,8,18,2,0,0,1,4,0,33,TRUE
270,363,"YouGov",36,17,7,9,0,0,8,6,0,47,TRUE
270,363,"YouGov",37,12,20,1,0,0,2,6,0,41,TRUE
270,363,"YouGov",38,25,18,2,0,0,3,5,0,53,TRUE
270,363,"YouGov",39,25,5,5,0,0,2,3,0,40,TRUE
270,363,"YouGov",40,21,6,2,0,0,2,5,0,36,TRUE
270,363,"YouGov",41,12,16,3,0,0,0,4,0,35,TRUE
270,363,"YouGov",42,21,4,4,0,0,2,8,0,39,TRUE
270,363,"YouGov",43,35,11,7,0,0,5,9,0,67,TRUE
270,363,"YouGov",44,20,13,2,0,0,6,7,0,48,TRUE
270,363,"YouGov",49,10,16,13,0,0,5,1,0,45,TRUE
270,363,"YouGov",50,12,8,5,0,0,4,5,0,34,TRUE
270,363,"YouGov",51,14,5,9,12,0,4,1,0,45,TRUE
270,363,"YouGov",52,6,20,1,0,0,4,5,1,37,TRUE
270,363,"YouGov",53,12,28,1,0,0,1,12,1,55,TRUE
270,363,"YouGov",54,18,6,3,0,0,2,12,0,41,TRUE
270,363,"YouGov",55,16,8,1,0,0,1,5,0,31,TRUE
270,363,"YouGov",56,6,19,0,0,0,0,1,0,26,TRUE
270,363,"YouGov",57,9,10,3,0,0,1,5,1,29,TRUE
270,363,"YouGov",58,10,12,2,0,0,1,6,0,31,TRUE
270,363,"YouGov",59,1,8,0,0,0,3,1,0,13,TRUE
270,363,"YouGov",60,1,3,1,0,0,1,3,0,9,TRUE
270,363,"YouGov",61,5,14,2,0,0,2,3,0,26,TRUE
270,363,"YouGov",62,7,18,1,0,0,1,3,1,31,TRUE
270,363,"YouGov",63,4,12,1,0,0,1,9,0,27,TRUE
270,363,"YouGov",64,10,26,1,0,0,7,6,0,50,TRUE
270,363,"YouGov",65,4,13,5,0,0,0,8,0,30,TRUE
270,363,"YouGov",66,11,25,1,0,0,2,5,0,44,TRUE
270,363,"YouGov",67,7,12,1,0,0,4,7,1,32,TRUE
270,363,"YouGov",68,3,11,1,0,0,7,5,0,27,TRUE
270,363,"YouGov",69,18,24,0,0,0,4,13,0,59,TRUE
270,363,"YouGov",70,6,15,0,0,0,2,15,2,40,TRUE
270,363,"YouGov",71,4,13,0,0,1,0,1,1,20,TRUE
270,363,"YouGov",72,11,15,3,0,0,8,5,0,42,TRUE
270,363,"YouGov",73,7,9,2,0,0,1,4,0,23,TRUE
270,363,"YouGov",74,24,6,3,0,0,1,21,0,55,TRUE
270,363,"YouGov",75,12,23,0,0,0,1,10,0,46,TRUE
270,363,"YouGov",76,10,14,0,0,0,4,4,0,32,TRUE
270,363,"YouGov",77,3,17,1,0,0,3,8,0,32,TRUE
270,363,"YouGov",78,8,13,0,0,0,3,7,0,31,TRUE
270,363,"YouGov",79,2,16,3,0,0,1,4,0,26,TRUE
270,363,"YouGov",80,13,5,0,0,0,3,14,0,35,TRUE
270,363,"YouGov",81,8,4,5,0,0,4,3,0,24,TRUE
270,363,"YouGov",82,20,10,2,0,0,6,6,1,45,TRUE
270,363,"YouGov",83,21,12,2,0,0,4,8,0,47,TRUE
270,363,"YouGov",84,21,16,9,0,0,3,9,0,58,TRUE
270,363,"YouGov",85,3,18,3,0,0,1,4,1,30,TRUE
270,363,"YouGov",86,5,10,1,0,0,2,6,1,25,TRUE
270,363,"YouGov",87,4,4,2,0,0,1,2,0,13,TRUE
270,363,"YouGov",88,17,12,3,0,0,1,14,0,47,TRUE
270,363,"YouGov",89,17,8,7,0,0,4,1,0,37,TRUE
270,363,"YouGov",90,7,10,2,0,0,0,1,2,22,TRUE
270,363,"YouGov",91,5,17,1,0,0,1,4,0,28,TRUE
270,363,"YouGov",92,15,11,5,0,0,4,9,1,45,TRUE
270,363,"YouGov",93,13,7,1,0,0,1,10,0,32,TRUE
270,363,"YouGov",94,8,25,0,0,6,3,9,3,54,TRUE
270,363,"YouGov",95,17,9,6,0,0,1,7,0,40,TRUE
270,363,"YouGov",96,14,8,1,0,0,1,4,1,29,TRUE
270,363,"YouGov",97,16,11,1,0,0,5,9,1,43,TRUE
270,363,"YouGov",98,9,21,1,0,0,28,8,0,67,TRUE
270,363,"YouGov",99,6,10,2,0,0,2,7,2,29,TRUE
270,363,"YouGov",100,20,17,1,0,0,3,13,2,56,TRUE
270,363,"YouGov",101,7,15,2,0,0,4,10,0,38,TRUE
270,363,"YouGov",102,8,19,11,0,0,17,2,3,60,TRUE
270,363,"YouGov",103,13,8,4,0,0,3,5,0,33,TRUE
270,363,"YouGov",104,25,14,0,0,0,3,8,0,50,TRUE
270,363,"YouGov",105,16,13,2,0,0,2,9,0,42,TRUE
270,363,"YouGov",106,21,11,1,0,0,1,9,1,44,TRUE
270,363,"YouGov",107,28,20,6,0,0,1,15,0,70,TRUE
270,363,"YouGov",108,17,4,2,0,0,3,6,2,34,TRUE
270,363,"YouGov",109,3,7,3,0,0,0,7,0,20,TRUE
